time,PRECIPITACAO_TOTAL,PRESSAO_ATM_NIVEL_ESTACAO,PRESSAO_ATM_MAX_HORARIA,PRESSAO_ATM_MIN_HORARIA,RADIACAO_GLOBAL,TEMP_AR,TEMP_MAX_AR,TEMP_MIN_AR,UMIDADE_RELATIVA,UMIDADE_RELATIVA_MAX,UMIDADE_RELATIVA_MIN,PONTO_ORVALHO,PONTO_ORVALHO_MAX,PONTO_ORVALHO_MIN,VENTO_DIRECAO_HORARIA,VENTO_VELOCIDADE_HORARIA,VENTO_RAJADA_MAX,zrodlo_plik
2013-12-31,-154.97406392694066,833.4840296803652,833.8061529680365,833.1628310502282,-4160.149771689497,-128.1586415525114,-133.18251141552508,-127.62248858447487,-128.66128995433792,-132.61891552511415,-133.70513698630134,-77.46609589041095,-83.68801369863014,-80.57009132420092,-30.15593607305936,-151.43109589041092,-156.144497716895,manaus_AM_completo_v2.nc
2014-12-31,-104.76988584474887,888.9339497716893,885.4779908675798,884.851095890411,-4102.908675799087,-77.62409817351599,-93.00546803652969,-80.52351598173516,-81.5543493150685,-95.93333333333332,-96.8964497716895,-41.45799086757991,-47.074657534246576,-40.81495433789954,-366.4293378995434,-488.1396689497717,-484.8076255707762,manaus_AM_completo_v2.nc
2015-12-31,-6.6771004566210035,997.0313470319634,997.3465182648401,996.7152054794519,-4067.417123287671,21.62690639269406,15.351347031963469,22.197773972602736,21.10554794520548,15.83093607305936,14.90320776255708,66.50513698630137,61.29360730593607,63.93664383561644,96.50365296803653,-9.523789954337898,-18.96648401826484,manaus_AM_completo_v2.nc
2016-12-31,-37.33178506375228,963.3381944444445,961.1535519125684,960.5118169398908,-4069.476320582878,-9.403472222222225,-15.00947176684882,-11.13934426229508,-12.190391621129326,-16.787534153005467,-17.742907559198546,35.47597905282331,30.256261384335154,35.17213114754098,-28.205601092896174,-155.37256375227687,-154.47233606557376,manaus_AM_completo_v2.nc
2017-12-31,-117.30013698630138,875.2197260273972,868.0001141552511,867.3661415525114,-4144.114840182649,-90.11453196347031,-95.30262557077629,-96.45925799086757,-97.46834474885844,-101.69141552511414,-102.60092465753425,-48.21175799086758,-53.32865296803653,-43.83116438356164,-71.42054794520548,-208.5057876712329,-204.067100456621,manaus_AM_completo_v2.nc
2018-12-31,-88.81602739726027,906.8463584474887,907.1647716894978,906.5272945205479,-2523.505707762557,-63.84128995433791,-69.2658105022831,-64.43220319634705,-65.4952397260274,-69.92158675799088,-70.8516780821918,-13.314840182648402,-18.605593607305938,-15.935730593607307,-6586.111187214612,-6625.811335616438,-6625.552568493151,manaus_AM_completo_v2.nc
2019-12-31,0.2631977077363897,1004.911071633238,1005.2335702005731,1004.5889856733525,666.0692263610315,27.7167564469914,22.201764637139185,28.26136389684814,27.20204011461318,22.729997659176036,21.72001638768582,76.25690219934488,70.37124137124137,73.27661563632114,128.20561604584526,3.8403667621776503,1.3480916905444125,manaus_AM_completo_v2.nc
2020-12-31,0.323893166506256,1004.7955977868655,1005.0929877315373,1004.4580346403656,,27.88058194060358,22.51586289837643,28.433088854154143,27.370614404232295,23.040497955256196,22.027616069280736,77.2478354978355,71.37726999398677,74.33365396176507,133.16686717998076,3.7415854685432457,1.2905340389704114,manaus_AM_completo_v2.nc
2021-12-31,0.3325472265672001,1004.7949584887499,1005.1101456252256,1004.4553857263209,,27.207327638070026,22.516700758031522,27.742941388855456,26.709856781802863,23.02266217354676,22.057455770850886,79.76266698760381,74.17799975929715,77.0030080616051,144.4291217257319,3.5545396173109025,1.2086671802773497,manaus_AM_completo_v2.nc
2022-12-31,0.28149511213340994,1004.516722254169,1004.8443869335173,1004.1925120772946,,27.580966072455436,22.05167337550316,28.136599953991258,27.075316310098916,22.537566137566138,21.6031174508225,76.21900161030595,70.88266421258484,73.57998849913743,134.64534683078338,3.770416379112031,1.3013916043703277,manaus_AM_completo_v2.nc
2023-12-31,0.2512505789717462,1004.5522927281148,1004.8811906416493,1004.231711836924,,28.38126447429366,23.07696850393701,28.939193884642112,27.863053046096827,23.553532545749363,22.64277275886032,77.58744498494325,72.09416261292564,74.84819360815192,125.60868558193398,3.878190873291638,1.3593214451134787,manaus_AM_completo_v2.nc
2003-12-31,-3293.5490879828326,-2618.3442864806866,-2619.644715665236,-2619.981625536481,454.35917381974247,-3275.8090128755366,-3279.1165504291844,-3276.8192060085835,-3277.4431330472103,-3280.1593347639487,-3280.738197424893,-3243.0799356223174,-3246.4151019313304,-3243.360649141631,-3202.906652360515,-3289.1655042918455,-3290.3099517167384,natal_RN_completo_v2.nc
