Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2010,MS,-5318265.4,287.72165525114156,-4088.3720319634704,-586.3203310502282,23.9,-9999.0,-594.9596461187215,24.9,-9999.0,-609.0060159817352,12.1
2011,MS,-32146034.8,-3066.8415068493155,-6102.7349315068495,-3654.7156392694064,23.5,-9999.0,-3655.175593607306,24.4,-9999.0,-3667.782751141552,12.6
2012,MS,-38336.4,947.8308173952641,-3787.0870901639346,20.574533242258653,25.4,-9999.0,19.84730191256831,28.7,-9999.0,0.5139116575591985,11.2
2013,MS,-148244.0,934.169897260274,-3895.381621004566,6.3119292237442925,23.7,-9999.0,4.470319634703197,24.6,-9999.0,-12.002808219178084,11.8
2014,MS,1523.8,953.2177853881278,-3895.9002283105024,23.858390410958904,23.7,8.2,23.16988584474886,24.4,1.6,6.292066210045662,12.5
2015,MS,-8486.0,951.9246118721461,-3904.842694063927,23.149212328767124,23.9,-9999.0,22.475547945205477,24.5,-9999.0,5.017705479452054,10.1
2016,MS,-58403.4,946.1063410746812,-3859.6762295081967,16.677777777777777,31.0,-9999.0,16.004360200364296,31.1,-9999.0,-0.6251024590163932,12.1
2017,MS,-198285.8,-5432.617294520548,-3899.7328767123286,1.139908675799087,24.9,-9999.0,0.4612671232876711,25.3,-9999.0,-18.8212899543379,12.2
2018,MS,-1908663.2,714.5638584474887,-3770.836187214612,-194.81702054794522,24.9,-9999.0,-212.63389269406392,25.2,-9999.0,-251.1198173515982,11.2
2019,MS,1255.2,953.386749742769,1373.6343570057581,24.583114210586487,24.3,6.7,23.868229107122442,25.5,-8.6,5.971990396707443,10.3
2020,MS,1181.4,952.9922603442379,,24.634959534936737,24.0,6.4,23.901538812264906,24.7,-2.1,6.02791519434629,13.2
2021,MS,1348.6,952.913140029916,,24.459544356230584,27.4,7.8,23.783005407893224,27.6,-9.5,4.416338741226556,10.0
2022,MS,1222.2,952.6476142388286,,24.30982075233527,26.3,7.3,23.782123469258934,26.9,-2.0,5.194657741854004,12.5
2023,MS,1503.4,952.7360054813292,,24.54709375356857,23.2,6.9,23.858261961859082,26.7,-0.8,6.0040452519712035,9.2
2002,MT,-5079492.0,-2720.7873239436617,-4435.917253521126,-5603.156866197183,24.5,-9999.0,-5621.091901408451,25.1,-9999.0,-8889.25264084507,15.0
2003,MT,-5468585.2,307.9622716894977,-8603.067123287672,-226.84327625570776,24.9,-9999.0,-227.4625114155251,25.7,-9999.0,-620.2982191780823,9.5
2004,MT,-688947.4,907.3950136612021,-8464.88900273224,-52.546004098360655,25.0,-9999.0,-53.180418943533695,26.2,-9999.0,-74.26926229508196,9.4
2005,MT,-4208465.6,465.17851598173513,-6239.575,-455.32277397260276,25.1,-9999.0,-455.9545776255708,26.2,-9999.0,-476.29987442922373,8.6
2006,MT,-15577327.4,-908.4847602739726,129.99634703196347,-1708.6030365296804,25.4,-9999.0,-1710.3062328767123,25.9,-9999.0,-1853.6670547945205,10.6
2007,MT,-11887242.8,-498.15317351598173,-4621.6956621004565,-1334.5048401826484,25.6,-9999.0,-1338.4903424657534,26.5,-9999.0,-1377.4297831050228,9.5
2008,MT,-16427468.8,-1062.7718920765028,-6164.346425318761,-2354.0948087431693,25.0,-9999.0,-2363.724772313297,25.7,-9999.0,-2853.9575591985426,7.9
