Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2021,PA,4300.8,1008.64,5.0,26.86,27.9,22.1,26.26,28.6,18.2,3.55,7.2
2022,PA,3737.6,1008.6,5.0,26.82,27.8,21.8,26.23,29.0,11.6,3.74,6.0
2023,PA,2753.8,1008.84,5.0,27.51,28.2,21.8,26.93,28.6,19.1,4.11,5.4
2006,MG,917.1,916.88,60.3,22.0,21.5,14.0,21.44,22.8,10.1,5.52,6.6
2007,MG,1477.2,919.19,60.3,21.94,22.5,10.0,21.28,23.3,0.1,5.55,10.1
2008,MG,2586.0,918.48,60.3,21.68,22.1,9.5,21.04,23.0,0.0,5.2,9.2
2009,MG,2398.0,918.45,60.3,21.94,22.6,9.8,21.28,23.6,1.0,4.98,7.3
2010,MG,1645.6,918.84,60.3,21.75,22.2,8.7,21.09,23.5,0.6,5.27,7.4
2011,MG,1987.6,918.59,60.3,21.51,21.7,9.8,20.87,22.8,0.0,5.37,8.9
2012,MG,1496.3,919.37,60.3,21.86,22.0,9.8,21.19,22.7,0.2,5.46,8.2
2013,MG,1838.2,919.11,60.3,21.63,21.5,12.0,20.99,22.3,0.0,5.26,6.6
2014,MG,1120.2,919.8,60.3,22.11,21.0,11.3,21.44,22.4,0.1,5.54,8.1
2015,MG,1251.8,919.67,60.3,22.73,21.9,10.9,22.07,23.0,0.7,5.34,7.9
2016,MG,1455.4,919.56,60.3,22.42,22.0,10.1,21.75,23.4,0.0,5.28,10.2
2017,MG,1193.0,919.91,60.3,21.79,21.5,9.2,21.13,22.5,0.0,5.61,6.6
2018,MG,1686.6,919.37,60.3,21.84,22.4,9.6,21.19,22.7,0.2,5.11,7.4
2019,MG,1070.4,919.68,60.3,22.6,22.4,8.0,21.89,23.2,0.1,5.19,8.2
2020,MG,2076.8,919.47,754.17,21.82,22.8,9.2,21.13,23.5,0.0,4.9,7.8
2021,MG,1664.4,919.01,778.28,21.67,22.4,8.5,20.96,23.3,0.0,4.94,5.4
2022,MG,1695.4,919.03,753.58,21.45,21.9,7.2,20.76,24.6,0.0,4.83,5.5
2023,MG,1211.4,919.28,777.43,22.56,22.7,9.6,21.84,23.7,0.8,4.73,7.1
2010,RR,447.0,1000.05,910.09,27.94,25.4,22.0,27.29,26.2,16.7,4.21,5.0
2011,RR,2110.4,1001.14,833.2,27.2,25.3,21.2,26.58,25.9,11.7,4.56,7.3
2012,RR,809.6,1001.64,847.14,27.42,25.0,21.6,26.77,25.8,13.6,4.82,6.7
2013,RR,1554.4,1001.77,829.15,27.45,25.2,21.2,26.82,26.4,11.6,4.99,5.9
2014,RR,598.0,1001.99,983.6,28.16,24.3,21.5,27.46,25.7,13.1,5.46,6.2
2015,RR,612.2,1002.03,866.82,28.23,25.2,21.1,27.6,26.0,11.1,5.38,6.6
2016,RR,1640.8,1002.13,990.71,28.4,25.5,21.7,27.72,25.8,12.0,5.2,6.8
2017,RR,1322.0,1001.89,858.69,27.74,24.7,21.9,27.14,25.8,13.3,4.91,6.1
2018,RR,3448.6,1002.51,1060.16,27.52,24.9,21.3,26.97,27.1,10.2,5.33,5.4
2019,RR,2109.4,1002.05,763.33,27.56,26.2,21.3,26.98,26.8,11.3,5.05,6.3
2020,RR,1282.4,1002.03,260.3,28.71,25.3,21.1,27.73,26.1,12.0,5.04,6.1
2021,RR,131.9,1001.06,260.3,30.8,23.0,22.6,30.1,23.5,16.6,7.03,4.6
2022,RR,50.6,1002.14,260.3,27.66,23.3,21.0,26.86,24.2,12.0,5.98,6.0
2023,RR,1636.8,1000.73,260.3,29.4,25.1,21.6,28.34,25.7,10.9,5.66,6.1
2000,DF,684.4,887.26,900.27,21.07,19.6,9.2,20.45,20.1,0.0,5.19,7.8
2001,DF,1130.4,887.6,835.42,21.16,20.3,11.3,20.59,20.7,0.4,5.05,7.9
2002,DF,1320.3,887.61,847.72,21.8,20.3,11.6,21.21,21.3,0.0,5.2,8.1
2003,DF,1000.4,888.0,810.01,21.43,20.1,11.7,20.82,20.8,0.0,5.1,10.0
2004,DF,1418.0,891.33,1161.31,21.19,20.1,9.4,20.46,21.3,0.1,5.26,9.3
2005,DF,1650.4,887.2,2832.98,21.35,20.6,10.2,20.74,21.4,1.0,5.29,8.6
2007,DF,1099.6,887.28,871.62,21.75,20.4,11.0,21.12,20.8,0.1,5.55,8.3
2008,DF,1575.9,886.87,1727.79,21.18,20.2,11.5,20.54,20.6,0.0,5.0,8.0
2009,DF,1698.04,886.98,774.45,21.3,20.4,10.0,20.69,20.9,1.8,4.82,9.0
2010,DF,1329.46,886.72,867.51,21.74,21.6,9.7,21.08,21.7,0.0,5.35,7.3
